날짜,링크,제목,댓글,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타,정치,비혐오,악플/욕설,신조어,우회,단어매몰,맥락오류,기타오류,구조모순
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",예? 3초간 읽은 내용을 뇌가 이해를 못함,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",??,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",미친새끼들이 그야말로 학살이네,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",?????,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",이스라엘이 저러고 있는게 역사적으로도 최악이다,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",에...?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",????????,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",??????,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",???????? 뭐? 내가 잘못 읽은 거 아니고?,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",종교가 뭔데 짐슬만도 못한것들,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",악마들이사는 나라,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",??????,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",???????,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",ㅖ???,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-04-01 20:41:00,https://theqoo.net/hot/3675719225?page=284,"""이스라엘, 유엔·구호단체 직원 15명 하나씩 죽여 집단매장""",미쳤나,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
